Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec,Year,CCI Value
1989-02-28,9.17,8.53,8.839059532809804,0.3309404671901959,0.020429241362387832,0.0,1989,101.07300000000001
1989-03-31,9.36,8.82,9.146419420990997,0.21358057900900285,0.01701068961021184,0.0,1989,100.9359
1989-04-30,9.18,8.65,8.966187059553544,0.2138129404464557,0.013813318041374765,0.0,1989,100.77414999999999
1989-05-31,8.86,8.43,8.733180124128404,0.12681987587159504,0.013725023185035585,0.0,1989,100.67685
1989-06-30,8.28,8.15,8.43700853840296,-0.1570085384029607,0.024715192841148988,0.0,1989,100.6631
1989-07-31,8.02,7.88,8.151819633975872,-0.13181963397587282,0.030446509966726862,0.0,1989,100.7156
1989-08-31,8.11,7.9,8.17293111609332,-0.06293111609332057,0.0374154073260632,0.0,1989,100.78960000000001
1989-09-30,8.19,7.75,8.01464807088873,0.17535192911126884,0.06884537023748351,0.0,1989,100.90385
1989-10-31,8.01,7.64,7.898651626579532,0.11134837342046744,0.09727584794410657,0.0,1989,100.88835
1989-11-30,7.87,7.69,7.951369127832385,-0.08136912783238515,0.13028802582885649,0.0,1989,100.80285
1989-12-31,7.84,7.63,7.888109756874746,-0.04810975687474617,0.15557341140715736,0.0,1989,100.75505
1990-01-31,8.21,7.64,7.898651626579532,0.3113483734204685,0.19315470143558855,0.0,1990,100.16067666666667
1990-02-28,8.47,7.74,8.00410022082035,0.4658997791796509,0.22880583357790835,0.0,1990,100.15898
1990-03-31,8.59,7.9,8.17293111609332,0.41706888390667984,0.2519083555760474,0.0,1990,100.19820333333332
1990-04-30,8.79,7.77,8.035745402832804,0.7542545971671952,0.25186142930195715,0.0,1990,100.24471
1990-05-31,8.76,7.74,8.00410022082035,0.7558997791796501,0.2697474491428452,0.0,1990,100.21164666666668
1990-06-30,8.48,7.73,7.993552914631648,0.4864470853683516,0.3321755934604309,0.0,1990,100.08976666666666
1990-07-31,8.47,7.62,7.877568430587161,0.5924315694128408,0.32640635484812064,0.0,1990,99.84276
1990-08-31,8.75,7.45,7.698448985831796,1.0515510141682043,0.3108421722061253,1.0,1990,99.42985
1990-09-30,8.89,7.36,7.603684548986932,1.2863154510130697,0.25969118034620314,1.0,1990,99.02587999999999
1990-10-31,8.72,7.17,7.403770503907912,1.316229496092089,0.2729937886318228,1.0,1990,98.74550666666669
1990-11-30,8.39,7.06,7.288120157680652,1.1018798423193488,0.3149763797548064,1.0,1990,98.71096666666666
1990-12-31,8.08,6.74,6.952054813876189,1.127945186123811,0.30753609054307834,1.0,1990,98.85823333333333
1991-01-31,8.09,6.22,6.407126718477572,1.6828732815224263,0.2325778943715281,1.0,1991,99.15209666666665
1991-02-28,7.85,5.94,6.114306309233136,1.7356936907668636,0.20377449970448372,1.0,1991,99.57411
1991-03-31,8.11,5.91,6.082957651515602,2.0270423484843985,0.21263707369791848,1.0,1991,100.00162999999999
1991-04-30,8.04,5.65,5.81147133293975,2.228528667060249,0.156069687037453,0.0,1991,100.11895333333332
1991-05-31,8.07,5.46,5.613306316004724,2.456693683995275,0.15582053691491715,0.0,1991,100.05766999999999
1991-06-30,8.28,5.57,5.7280098993805275,2.551990100619471,0.2001120676196139,0.0,1991,99.97134999999999
1991-07-31,8.27,5.58,5.738440706160393,2.5315592938396065,0.1818574459643744,0.0,1991,99.86685666666666
1991-08-31,7.9,5.33,5.4778308977876105,2.4221691022123912,0.11527723429033206,0.0,1991,99.74700333333334
1991-09-30,7.65,5.22,5.363268325555707,2.286731674444292,0.08890356313568509,0.0,1991,99.59976
1991-10-31,7.53,4.99,5.1239369030079684,2.406063096992031,0.0858952323897087,0.0,1991,99.35854333333334
1991-11-30,7.42,4.56,4.677246393428248,2.7427536065717506,0.10920071949043658,0.0,1991,99.08492
1991-12-31,7.09,4.07,4.169423033581882,2.9205769664181176,0.10614571917067014,0.0,1991,98.93479
1992-01-31,7.03,3.8,3.890144779577161,3.13985522042284,0.054959336626621405,0.0,1992,98.94010666666668
1992-02-29,7.34,3.84,3.9314950452391213,3.4085049547608786,0.05134036388996067,0.0,1992,99.11097000000001
1992-03-31,7.54,4.04,4.138373096814243,3.4016269031857562,0.034653152870060495,0.0,1992,99.40620666666666
1992-04-30,7.48,3.75,3.8384688190135674,3.6415311809864335,0.025950219073308526,0.0,1992,99.70508
1992-05-31,7.39,3.63,3.7145003023577168,3.6754996976422825,0.018381465006366542,0.0,1992,99.97247333333333
1992-06-30,7.26,3.66,3.745485314972353,3.5145146850276467,0.015828708309116268,0.0,1992,100.16100666666667
1992-07-31,6.84,3.21,3.2812075986567684,3.558792401343232,0.016348796004764462,0.0,1992,100.24244666666668
1992-08-31,6.59,3.13,3.1987807981874368,3.391219201812563,0.019389087917157675,0.0,1992,100.28447
1992-09-30,6.42,2.91,2.97228026491534,3.44771973508466,0.023806788907673702,0.0,1992,100.33368333333334
1992-10-31,6.59,2.86,2.9208382601552216,3.669161739844778,0.019874976827176132,0.0,1992,100.46206333333333
1992-11-30,6.87,3.13,3.1987807981874368,3.6712192018125633,0.011620091400390106,0.0,1992,100.73647999999999
1992-12-31,6.77,3.22,3.2915133119630964,3.478486688036904,0.008608859121475401,0.0,1992,100.96525000000001
1993-01-31,6.6,3.0,3.064908892434293,3.5350911075657057,0.00585394736594565,0.0,1993,101.0421
1993-02-28,6.26,2.93,2.9928607349376786,3.267139265062321,0.0035631523323354283,0.0,1993,101.01040333333333
1993-03-31,5.98,2.95,3.013443301508051,2.9665566984919494,0.0036099250590816007,0.0,1993,100.95109000000001
1993-04-30,5.97,2.87,2.931125613233561,3.0388743867664387,0.002267092648351818,0.0,1993,100.88394
1993-05-31,6.04,2.96,3.0237353710988666,3.016264628901133,0.0021189311382515197,0.0,1993,100.80107666666667
1993-06-30,5.96,3.07,3.136982746384932,2.823017253615068,0.002907918460278784,0.0,1993,100.76307666666666
1993-07-31,5.81,3.04,3.106090804448405,2.7039091955515944,0.002668015265266328,0.0,1993,100.74515333333333
1993-08-31,5.68,3.02,3.0854987994462166,2.594501200553783,0.0036817485785212156,0.0,1993,100.77667333333333
1993-09-30,5.36,2.95,3.013443301508051,2.3465566984919493,0.003306725001748503,0.0,1993,100.82078999999999
1993-10-31,5.33,3.02,3.0854987994462166,2.2445012005537834,0.0021458907254939454,0.0,1993,100.84922666666667
1993-11-30,5.72,3.1,3.167879410603647,2.552120589396353,0.0021371050543032904,0.0,1993,100.83107333333334
1993-12-31,5.77,3.06,3.126684907761536,2.643315092238464,0.0031172890039188753,0.0,1993,100.83710666666667
1994-01-31,5.75,2.98,3.044321083092025,2.705678916907975,0.0027941126070794237,0.0,1994,100.80475999999999
1994-02-28,5.97,3.25,3.32243360384268,2.6475663961573197,0.004642217879262642,0.0,1994,100.6651
1994-03-31,6.48,3.5,3.5802867031935315,2.899713296806469,0.007951580893580555,0.0,1994,100.48886666666665
1994-04-30,6.97,3.68,3.7661446253370237,3.203855374662976,0.007006938505206682,0.0,1994,100.35076666666667
1994-05-31,7.18,4.14,4.241891393432269,2.9381086065677313,0.007291035283133113,0.0,1994,100.24262666666668
1994-06-30,7.1,4.14,4.241891393432269,2.8581086065677317,0.010163140089658705,0.0,1994,100.15392333333334
1994-07-31,7.3,4.33,4.438721933428579,2.8612780665714217,0.012388094523658721,0.0,1994,100.11620999999998
1994-08-31,7.24,4.48,4.5942495459694666,2.6457504540305328,0.014791870986396671,0.0,1994,100.1741
1994-09-30,7.46,4.62,4.739516318067835,2.7204836819321647,0.021760744757443613,0.0,1994,100.28571333333333
1994-10-31,7.74,4.95,5.082342814466005,2.6576571855339943,0.02534651344724762,0.0,1994,100.44581333333332
1994-11-30,7.96,5.29,5.436164309357827,2.5238356906421737,0.015825432718048867,0.0,1994,100.63686666666666
1994-12-31,7.81,5.6,5.7593039244415385,2.050696075558461,0.013673859812300378,0.0,1994,100.86606666666667
1995-01-31,7.78,5.71,5.874089884581313,1.9059101154186864,0.0123521719513562,0.0,1995,101.06509999999999
1995-02-28,7.47,5.77,5.936727711654399,1.533272288345601,0.013580035210882259,0.0,1995,101.15253333333334
1995-03-31,7.2,5.73,5.894967018118262,1.3050329818817383,0.008922503707180765,0.0,1995,101.16966666666667
1995-04-30,7.06,5.65,5.81147133293975,1.24852866706025,0.0052134560706443775,0.0,1995,101.20373333333333
1995-05-31,6.63,5.67,5.832342042321574,0.7976579576784255,0.008352825568558304,0.0,1995,101.22449999999999
1995-06-30,6.17,5.47,5.6237312416712975,0.5462687583287016,0.009577959788040085,0.0,1995,101.25763333333333
1995-07-31,6.28,5.42,5.571611956927664,0.7083880430723362,0.009526585858820772,0.0,1995,101.2416
1995-08-31,6.49,5.4,5.550767982967505,0.939232017032494,0.013620044142158044,0.0,1995,101.13969999999999
1995-09-30,6.2,5.28,5.425748996608063,0.774251003391937,0.012055177165143876,0.0,1995,100.95706666666668
1995-10-31,6.04,5.28,5.425748996608063,0.6142510033919368,0.013359557308396476,0.0,1995,100.84256666666666
1995-11-30,5.93,5.36,5.509086444561087,0.4209135554389132,0.016549185432414317,0.0,1995,100.80363333333332
