Date,CCI Value,Spread,Value of Copper,NBER_Rec
1989-04-30,100.77415,0.2138129404464557,3017.79394,0.0
1989-05-31,100.67685,0.12681987587159504,2627.8191818181826,0.0
1989-06-30,100.6631,-0.1570085384029607,2418.9400909090905,0.0
1989-07-31,100.7156,-0.13181963397587282,2347.5905999999995,0.0
1989-08-31,100.7896,-0.06293111609332057,2671.1042608695657,0.0
1989-09-30,100.90385,0.17535192911126884,2747.7268000000004,0.0
1989-10-31,100.88835,0.11134837342046744,2735.063818181819,0.0
1989-11-30,100.80285,-0.08136912783238515,2450.3862095238096,0.0
1989-12-31,100.75505,-0.04810975687474617,2325.8481400000005,0.0
1990-01-31,100.16067666666667,0.3113483734204685,2276.782090909091,0.0
1990-02-28,100.15898,0.4658997791796509,2330.3356000000003,0.0
1990-03-31,100.19820333333332,0.41706888390667984,2567.459636363636,0.0
1990-04-30,100.24471,0.7542545971671952,2581.94192,0.0
1990-05-31,100.21164666666668,0.7558997791796501,2512.7603636363633,0.0
1990-06-30,100.08976666666666,0.4864470853683516,2452.936552380953,0.0
1990-07-31,99.84276,0.5924315694128408,2645.2722857142858,0.0
1990-08-31,99.42985,1.0515510141682043,2859.529709090909,1.0
1990-09-30,99.02588,1.2863154510130697,2715.0960000000005,1.0
1990-10-31,98.74550666666669,1.316229496092089,2593.197652173913,1.0
1990-11-30,98.71096666666666,1.1018798423193488,2523.496038095238,1.0
1990-12-31,98.85823333333332,1.127945186123811,2461.6128000000003,1.0
1991-01-31,99.15209666666664,1.6828732815224263,2418.7397272727267,1.0
1991-02-28,99.57411,1.7356936907668636,2417.8576,1.0
1991-03-31,100.00163,2.0270423484843985,2375.4160999999995,1.0
1991-04-30,100.11895333333332,2.228528667060249,2393.914672727273,0.0
1991-05-31,100.05767,2.456693683995275,2204.701272727273,0.0
1991-06-30,99.97135,2.551990100619471,2198.79856,0.0
1991-07-31,99.86685666666666,2.5315592938396065,2204.262380952381,0.0
1991-08-31,99.74700333333334,2.4221691022123912,2233.5636545454545,0.0
1991-09-30,99.59976,2.286731674444292,2300.425,0.0
1991-10-31,99.35854333333334,2.406063096992031,2322.8243478260874,0.0
1991-11-30,99.08492,2.7427536065717506,2311.43398,0.0
1991-12-31,98.93479,2.9205769664181176,2168.022323809524,0.0
1992-01-31,98.94010666666668,3.1398552204228403,2132.169636363636,0.0
1992-02-29,99.11097,3.4085049547608786,2217.9664000000002,0.0
1992-03-31,99.40620666666666,3.401626903185756,2236.709363636364,0.0
1992-04-30,99.70508000000001,3.6415311809864335,2215.376838095238,0.0
1992-05-31,99.97247333333333,3.6754996976422825,2221.9626,0.0
1992-06-30,100.16100666666668,3.5145146850276467,2309.050654545455,0.0
1992-07-31,100.24244666666668,3.558792401343232,2509.805,0.0
1992-08-31,100.28447,3.391219201812563,2484.401276190476,0.0
1992-09-30,100.33368333333334,3.44771973508466,2388.7686666666664,0.0
1992-10-31,100.46206333333332,3.6691617398447782,2223.7358181818176,0.0
1992-11-30,100.73648,3.6712192018125633,2128.2154600000003,0.0
1992-12-31,100.96525,3.4784866880369036,2192.9399272727273,0.0
1993-01-31,101.0421,3.5350911075657057,2232.0459,0.0
1993-02-28,101.01040333333331,3.267139265062321,2173.1440000000002,0.0
1993-03-31,100.95109,2.9665566984919494,2125.901739130434,0.0
1993-04-30,100.88394,3.0388743867664387,1925.8027238095237,0.0
1993-05-31,100.80107666666667,3.0162646289011334,1781.2177,0.0
1993-06-30,100.76307666666666,2.823017253615068,1833.9684363636363,0.0
1993-07-31,100.74515333333332,2.7039091955515944,1905.1480952380953,0.0
1993-08-31,100.77667333333332,2.594501200553783,1876.916381818182,0.0
1993-09-30,100.82079,2.3465566984919493,1778.1321,0.0
1993-10-31,100.84922666666668,2.2445012005537834,1639.7759999999998,0.0
1993-11-30,100.83107333333334,2.552120589396353,1634.4313000000004,0.0
1993-12-31,100.83710666666668,2.643315092238464,1748.0238857142856,0.0
1994-01-31,100.80476,2.705678916907975,1846.8470476190475,0.0
1994-02-28,100.6651,2.64756639615732,1919.9972000000002,0.0
1994-03-31,100.48886666666664,2.899713296806469,1976.6526086956524,0.0
1994-04-30,100.35076666666669,3.203855374662976,1937.4552,0.0
1994-05-31,100.24262666666668,2.9381086065677318,2204.41980952381,0.0
1994-06-30,100.15392333333334,2.858108606567732,2396.5194000000006,0.0
1994-07-31,100.11620999999998,2.8612780665714217,2473.3839000000007,0.0
1994-08-31,100.1741,2.6457504540305328,2409.891930434783,0.0
1994-09-30,100.28571333333332,2.7204836819321647,2559.4737142857143,0.0
1994-10-31,100.44581333333332,2.6576571855339943,2580.4641904761907,0.0
1994-11-30,100.63686666666666,2.5238356906421737,2843.7661,0.0
1994-12-31,100.86606666666668,2.050696075558461,3002.7715809523806,0.0
