,Date,Value of Copper in Dollars per Tonne
693,1962-04-06,662.9632
694,1962-04-09,663.6243999999999
695,1962-04-10,660.9796
696,1962-04-11,660.9796
697,1962-04-12,660.3184
698,1962-04-13,660.5388
699,1962-04-16,658.5552
700,1962-04-17,658.996
701,1962-04-18,657.6736
702,1962-04-19,654.1472
703,1962-04-23,655.9104
704,1962-04-24,651.9432
705,1962-04-25,650.18
706,1962-04-26,653.2656
707,1962-04-27,653.9268000000001
708,1962-04-30,658.7756
709,1962-05-01,658.5552
710,1962-05-02,657.6736
711,1962-05-03,655.9104
712,1962-05-04,654.588
713,1962-05-07,655.4696
714,1962-05-08,657.0124
715,1962-05-09,659.8776
716,1962-05-10,658.7756
717,1962-05-11,656.7919999999999
718,1962-05-14,657.2328
719,1962-05-15,657.2328
720,1962-05-16,654.588
721,1962-05-17,654.8083999999999
722,1962-05-18,654.588
723,1962-05-21,651.0616
724,1962-05-22,649.078
725,1962-05-23,644.2292
726,1962-05-24,641.8048
727,1962-05-25,637.3968
728,1962-05-28,634.752
729,1962-05-29,634.9724000000001
730,1962-05-31,635.1928
731,1962-06-01,633.8704
732,1962-06-04,631.6664000000001
733,1962-06-05,631.6664000000001
734,1962-06-06,633.65
735,1962-06-07,634.752
736,1962-06-08,634.9724000000001
737,1962-06-11,634.5316
738,1962-06-12,632.9888
739,1962-06-13,632.9888
740,1962-06-14,630.7848
741,1962-06-15,632.548
742,1962-06-18,633.4295999999999
743,1962-06-19,630.7848
744,1962-06-20,630.7848
745,1962-06-21,625.9359999999999
746,1962-06-22,627.6992
747,1962-06-25,624.834
748,1962-06-26,625.7156
749,1962-06-27,627.2584
750,1962-06-28,628.5808000000001
751,1962-06-29,628.14
752,1962-07-02,630.1236
753,1962-07-03,631.4459999999999
754,1962-07-05,631.2256
755,1962-07-06,634.3112
756,1962-07-09,634.5316
757,1962-07-10,629.0215999999999
758,1962-07-11,621.5279999999999
759,1962-07-12,622.8504
760,1962-07-13,623.0708
761,1962-07-16,620.4259999999999
762,1962-07-17,621.0871999999999
763,1962-07-18,619.5444
764,1962-07-19,623.2912
